date,site.id,plot.id,plant.id,trt,seed.present,seeds,ash,bag,pollen,notes
9/1/23,CO,2,16,CB+,0,0,control,bag,supplement,
9/1/23,CO,2,16,CB+,1,4,control,bag,supplement,
9/1/23,CO,2,17,CU+,1,2,control,unbagged,supplement,
9/1/23,CO,2,17,CU+,1,3,control,unbagged,supplement,
9/1/23,CO,2,17,AU+,0,0,ash,unbagged,supplement,
9/1/23,CO,2,17,AU,1,1,ash,unbagged,none,
9/1/23,CO,2,17,AB,0,0,ash,bag,none,
9/1/23,CO,2,17,AB,0,0,ash,bag,none,
9/1/23,CO,2,17,AB,0,0,ash,bag,none,
9/1/23,CO,2,17,CB,0,0,control,bag,none,
9/1/23,CO,2,17,AB+,0,0,ash,bag,supplement,
9/1/23,CO,2,17,AB+,1,4,ash,bag,supplement,
9/1/23,CO,2,17,CB,0,0,control,bag,none,
9/1/23,CO,2,17,CB+,0,0,control,bag,supplement,
9/1/23,CO,2,17,CB+,0,0,control,bag,supplement,
9/1/23,CO,2,18,AU+,1,3,ash,unbagged,supplement,
9/1/23,CO,2,18,CU+,1,1,control,unbagged,supplement,
9/1/23,CO,2,18,AU,0,0,ash,unbagged,none,
9/1/23,CO,2,18,CU,1,3,control,unbagged,none,
9/1/23,CO,2,18,AU,1,2,ash,unbagged,none,
9/1/23,CO,2,18,AU+,0,0,ash,unbagged,supplement,
9/1/23,CO,2,18,CU+,1,2,control,unbagged,supplement,
9/1/23,CO,2,18,CB,1,3,control,bag,none,
9/1/23,CO,2,18,CB+,1,2,control,bag,supplement,
9/1/23,CO,2,18,AB+,1,4,ash,bag,supplement,
9/1/23,CO,2,18,AB+,1,3,ash,bag,supplement,
9/1/23,CO,2,18,CB+,0,0,control,bag,supplement,
9/1/23,CO,2,18,CB,0,0,control,bag,none,
9/1/23,CO,2,18,AB,1,2,ash,bag,none,
9/1/23,CO,3,19,CB+,1,2,control,bag,supplement,
9/1/23,CO,3,19,CB+,1,3,control,bag,supplement,
9/1/23,CO,3,19,AB,1,1,ash,bag,none,
9/1/23,CO,3,19,AB+,0,0,ash,bag,supplement,
9/1/23,CO,3,19,AB,0,0,ash,bag,none,
9/1/23,CO,3,19,AB,0,0,ash,bag,none,
9/1/23,CO,3,19,AB+,0,0,ash,bag,supplement,
9/1/23,CO,3,20,CU+,1,2,control,unbagged,supplement,
9/1/23,CO,3,20,CU,1,2,control,unbagged,none,
9/1/23,CO,3,21,AU+,0,0,ash,unbagged,supplement,
9/1/23,CO,3,22,CU+,1,1,control,unbagged,supplement,
9/1/23,CO,3,22,CU+,1,2,control,unbagged,supplement,
9/1/23,CO,3,23,CU+,1,1,control,unbagged,supplement,
9/1/23,CO,3,23,CU+,1,2,control,unbagged,supplement,
9/1/23,CO,3,24,AU+,1,3,ash,unbagged,supplement,
9/1/23,CO,3,24,AU+,1,3,ash,unbagged,supplement,
9/1/23,CO,3,25,AU,1,1,ash,unbagged,none,
9/1/23,CO,3,25,CU,1,1,control,unbagged,none,
9/1/23,CO,3,26,AB+,1,3,ash,bag,supplement,
9/1/23,CO,3,26,AB,0,0,ash,bag,none,
9/1/23,CO,3,27,AB+,0,0,ash,bag,supplement,
9/1/23,CO,3,27,CB+,1,1,control,bag,supplement,
9/1/23,CO,3,28,CU,1,1,control,unbagged,none,
9/1/23,CO,3,28,AU,1,2,ash,unbagged,none,
9/1/23,CO,3,29,AB+,0,0,ash,bag,supplement,
9/1/23,CO,3,29,CB+,1,1,control,bag,supplement,
9/1/23,CO,3,29,CB+,1,4,control,bag,supplement,
9/1/23,CO,3,30,CB+,1,1,control,bag,supplement,
9/1/23,CO,3,30,CB+,0,0,control,bag,supplement,
9/1/23,CO,3,30,CB+,1,1,control,bag,supplement,
9/1/23,CO,3,31,AB+,0,0,ash,bag,supplement,
9/1/23,CO,3,32,CU+,1,1,control,unbagged,supplement,
9/1/23,CO,3,33,AU,1,1,ash,unbagged,none,
9/1/23,CO,3,33,CU,1,2,control,unbagged,none,
9/1/23,CO,3,33,CU,1,1,control,unbagged,none,
9/1/23,CO,3,34,CU,1,1,control,unbagged,none,
9/1/23,CO,3,34,CU,1,3,control,unbagged,none,
9/1/23,CO,3,34,CU,1,4,control,unbagged,none,
9/1/23,CO,3,34,CU+,1,1,control,unbagged,supplement,
9/1/23,CO,3,34,CU+,1,4,control,unbagged,supplement,
9/1/23,CO,3,34,CU+,1,4,control,unbagged,supplement,
9/1/23,CO,3,35,CU,1,3,control,unbagged,none,
9/1/23,CO,3,35,CU,1,3,control,unbagged,none,
9/1/23,CO,3,35,CU,0,0,control,unbagged,none,
9/1/23,CO,3,35,AU,0,0,ash,unbagged,none,
9/1/23,CO,3,35,CU+,1,1,control,unbagged,supplement,
9/1/23,CO,3,35,CU+,1,1,control,unbagged,supplement,
9/1/23,CO,3,35,AB+,0,0,ash,bag,supplement,
9/1/23,CO,3,35,AB+,0,0,ash,bag,supplement,
9/1/23,CO,3,35,AB+,1,1,ash,bag,supplement,
9/1/23,CO,3,35,AB+,0,0,ash,bag,supplement,end of sheets 1-10
9/1/23,CO,3,36,CU+,1,1,control,unbagged,supplement,sheets 11-16 begins
9/1/23,CO,3,36,CU,0,0,control,unbagged,none,
9/1/23,CO,3,36,AU,0,0,ash,unbagged,none,
9/1/23,CO,3,36,AU+,1,1,ash,unbagged,supplement,
9/1/23,CO,3,37,AU+,1,1,ash,unbagged,supplement,
9/1/23,CO,3,37,AU,1,1,ash,unbagged,none,
9/1/23,CO,3,37,CU,1,2,control,unbagged,none,
9/1/23,CO,3,37,AU+,1,1,ash,unbagged,supplement,
9/1/23,CO,3,37,AU,1,4,ash,unbagged,none,
9/1/23,CO,3,37,CU,1,1,control,unbagged,none,
9/1/23,CO,3,37,AU+,1,2,ash,unbagged,supplement,
9/1/23,CO,3,37,AU,1,2,ash,unbagged,none,
9/1/23,CO,3,37,AU+,1,2,ash,unbagged,supplement,
9/1/23,CO,3,38,CU+,1,2,control,unbagged,supplement,
9/1/23,CO,3,38,CU+,0,0,control,unbagged,supplement,
9/1/23,CO,3,38,CU,1,2,control,unbagged,none,
9/1/23,CO,3,38,CU,0,0,control,unbagged,none,
9/1/23,CO,3,39,AU+,0,0,ash,unbagged,supplement,
9/1/23,CO,3,39,AU+,0,0,ash,unbagged,supplement,
9/1/23,CO,3,39,AU+,1,1,ash,unbagged,supplement,
9/1/23,CO,3,39,CU+,1,1,control,unbagged,supplement,
9/1/23,CO,3,39,CU,1,1,control,unbagged,none,
9/1/23,CO,3,39,AU+,1,1,ash,unbagged,supplement,
9/1/23,CO,3,39,AU+,0,0,ash,unbagged,supplement,
9/1/23,CO,3,39,AU+,0,0,ash,unbagged,supplement,
9/1/23,BS,1,40,AU+,0,0,ash,unbagged,supplement,
9/1/23,BS,1,40,CB,1,1,control,bag,none,
9/1/23,BS,1,40,AB,0,0,ash,bag,none,
9/1/23,BS,1,40,AB,0,0,ash,bag,none,
9/1/23,BS,1,40,CB+,0,0,control,bag,supplement,
9/1/23,BS,1,41,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,41,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,41,CU,0,0,control,unbagged,none,
9/1/23,BS,1,41,AU+,1,4,ash,unbagged,supplement,ENDS 11
9/1/23,BS,1,42,CU+,0,0,control,unbagged,supplement,
9/1/23,BS,1,42,CU+,1,1,control,unbagged,supplement,
9/1/23,BS,1,42,CU,1,1,control,unbagged,none,
9/1/23,BS,1,42,CU,1,1,control,unbagged,none,
9/1/23,BS,1,42,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,42,CB+,1,1,control,bag,supplement,
9/1/23,BS,1,42,CB+,1,1,control,bag,supplement,
9/1/23,BS,1,42,CB,1,1,control,bag,none,
9/1/23,BS,1,42,AB,1,1,ash,bag,none,
9/1/23,BS,1,42,CB,1,1,control,bag,none,
9/1/23,BS,1,43,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,43,CB,0,0,control,bag,none,
9/1/23,BS,1,43,CU+,1,2,control,unbagged,supplement,
9/1/23,BS,1,43,CU,1,1,control,unbagged,none,
9/1/23,BS,1,43,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,44,CU,1,2,control,unbagged,none,
9/1/23,BS,1,44,CU,0,0,control,unbagged,none,
9/1/23,BS,1,45,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,45,CU+,0,0,control,unbagged,supplement,
9/1/23,BS,1,45,CB+,0,0,control,bag,supplement,
9/1/23,BS,1,45,CB+,0,0,control,bag,supplement,
9/1/23,BS,1,45,CB,0,0,control,bag,none,
9/1/23,BS,1,46,AU+,0,0,ash,unbagged,supplement,
9/1/23,BS,1,46,CU,1,1,control,unbagged,none,
9/1/23,BS,1,46,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,47,AU,1,3,ash,unbagged,none,
9/1/23,BS,1,47,CU,1,1,control,unbagged,none,
9/1/23,BS,1,47,AU+,1,3,ash,unbagged,supplement,
9/1/23,BS,1,48,CU,1,3,control,unbagged,none,
9/1/23,BS,1,48,CU+,1,3,control,unbagged,supplement,
9/1/23,BS,1,49,AU,1,2,ash,unbagged,none,
9/1/23,BS,1,49,AU+,1,1,ash,unbagged,supplement,
9/1/23,BS,1,49,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,49,CU+,1,1,control,unbagged,supplement,ENDS12
9/1/23,BS,1,50,CB+,0,0,control,bag,supplement,
9/1/23,BS,1,50,AB+,1,1,ash,bag,supplement,
9/1/23,BS,1,50,AB,0,0,ash,bag,none,
9/1/23,BS,1,50,CB,0,0,control,bag,none,
9/1/23,BS,1,50,CB,1,1,control,bag,none,
9/1/23,BS,1,50,AB,1,1,ash,bag,none,
9/1/23,BS,1,51,CU,1,2,control,unbagged,none,
9/1/23,BS,1,51,CU+,0,0,control,unbagged,supplement,
9/1/23,BS,1,51,CU,1,1,control,unbagged,none,
9/1/23,BS,1,51,AB+,1,1,ash,bag,supplement,
9/1/23,BS,1,51,AB,0,0,ash,bag,none,
9/1/23,BS,1,51,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,51,AB,0,0,ash,bag,none,
9/1/23,BS,1,51,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,51,CB,1,4,control,bag,none,
9/1/23,BS,1,51,CB+,1,1,control,bag,supplement,
9/1/23,BS,1,51,CB+,1,1,control,bag,supplement,
9/1/23,BS,1,52,CB+,0,0,control,bag,supplement,
9/1/23,BS,1,52,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,52,AB,0,0,ash,bag,none,
9/1/23,BS,1,52,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,52,CB,0,0,control,bag,none,
9/1/23,BS,1,53,CB,1,1,control,bag,none,
9/1/23,BS,1,53,CB,0,0,control,bag,none,
9/1/23,BS,1,53,CB,0,0,control,bag,none,
9/1/23,BS,1,53,CB+,0,0,control,bag,supplement,
9/1/23,BS,1,54,CB,1,1,control,bag,none,
9/1/23,BS,1,54,AB,0,0,ash,bag,none,
9/1/23,BS,1,54,CB,1,2,control,bag,none,
9/1/23,BS,1,54,CB+,1,2,control,bag,supplement,
9/1/23,BS,1,54,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,54,CB,1,2,control,bag,none,
9/1/23,BS,1,55,CB,0,0,control,bag,none,ENDS 13
9/1/23,BS,1,55,CB,0,0,control,bag,none,
9/1/23,BS,1,55,CB,1,2,control,bag,none,
9/1/23,BS,1,55,CB,1,2,control,bag,none,
9/1/23,BS,1,55,CB+,1,2,control,bag,supplement,
9/1/23,BS,1,55,CB,1,1,control,bag,none,
9/1/23,BS,1,55,CB,1,2,control,bag,none,
9/1/23,BS,1,56,AB+,1,1,ash,bag,supplement,
9/1/23,BS,1,56,AB,1,2,ash,bag,none,
9/1/23,BS,1,56,CB+,1,1,control,bag,supplement,
9/1/23,BS,1,57,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,57,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,57,AB,0,0,ash,bag,none,
9/1/23,BS,1,57,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,57,CB+,0,0,control,bag,supplement,
9/1/23,BS,1,57,CB+,0,0,control,bag,supplement,
9/1/23,BS,1,57,AB,0,0,ash,bag,none,
9/1/23,BS,1,58,CB+,1,1,control,bag,supplement,
9/1/23,BS,1,58,CB+,1,1,control,bag,supplement,
9/1/23,BS,1,58,AB+,1,3,ash,bag,supplement,
9/1/23,BS,1,58,AB,1,3,ash,bag,none,
9/1/23,BS,1,59,CB+,1,1,control,bag,supplement,
9/1/23,BS,1,59,CB+,0,0,control,bag,supplement,
9/1/23,BS,1,60,CB+,1,1,control,bag,supplement,
9/1/23,BS,1,60,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,60,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,61,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,61,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,61,AB,0,0,ash,bag,none,
9/1/23,BS,1,61,CB+,0,0,control,bag,supplement,
9/1/23,BS,1,61,CB+,1,1,control,bag,supplement,
9/1/23,BS,1,61,AB,0,0,ash,bag,none,
9/1/23,BS,1,62,CU,1,3,control,unbagged,none,
9/1/23,BS,1,62,AB,0,0,ash,bag,none,ENDS 14
9/1/23,BS,1,62,AB+,1,1,ash,bag,supplement,
9/1/23,BS,1,63,AB,1,1,ash,bag,none,
9/1/23,BS,1,63,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,63,AB+,1,1,ash,bag,supplement,
9/1/23,BS,1,64,AB+,0,0,ash,bag,supplement,
9/1/23,BS,1,64,AB,0,0,ash,bag,none,
9/1/23,BS,1,64,AB,0,0,ash,bag,none,
9/1/23,BS,1,64,AB+,1,1,ash,bag,supplement,
9/1/23,BS,1,65,AU+,1,1,ash,unbagged,supplement,
9/1/23,BS,1,65,CU+,1,2,control,unbagged,supplement,
9/1/23,BS,1,65,CU+,0,0,control,unbagged,supplement,
9/1/23,BS,1,66,AU,1,2,ash,unbagged,none,
9/1/23,BS,1,66,CU+,1,1,control,unbagged,supplement,
9/1/23,BS,1,66,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,66,AU,1,2,ash,unbagged,none,
9/1/23,BS,1,66,AU,1,2,ash,unbagged,none,
9/1/23,BS,1,66,AU,1,3,ash,unbagged,none,
9/1/23,BS,1,66,AU+,0,0,ash,unbagged,supplement,
9/1/23,BS,1,67,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,68,CU+,1,1,control,unbagged,supplement,
9/1/23,BS,1,68,CU+,1,2,control,unbagged,supplement,
9/1/23,BS,1,68,CU+,1,2,control,unbagged,supplement,
9/1/23,BS,1,68,AU+,1,3,ash,unbagged,supplement,
9/1/23,BS,1,69,AU+,0,0,ash,unbagged,supplement,
9/1/23,BS,1,70,AU+,1,2,ash,unbagged,supplement,
9/1/23,BS,1,70,AU,1,1,ash,unbagged,none,
9/1/23,BS,1,70,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,71,CU+,0,0,control,unbagged,supplement,
9/1/23,BS,1,71,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,71,AU+,0,0,ash,unbagged,supplement,
9/1/23,BS,1,72,AB,0,0,ash,bag,none,
9/1/23,BS,1,72,AB,0,0,ash,bag,none,
9/1/23,BS,1,73,AU+,1,1,ash,unbagged,supplement,
9/1/23,BS,1,74,AU+,1,1,ash,unbagged,supplement,ENDS 15
9/1/23,BS,1,75,AU+,1,1,ash,unbagged,supplement,
9/1/23,BS,1,75,CU+,1,1,control,unbagged,supplement,
9/1/23,BS,1,75,CU+,0,0,control,unbagged,supplement,
9/1/23,BS,1,75,CU+,1,1,control,unbagged,supplement,
9/1/23,BS,1,76,AU+,0,0,ash,unbagged,supplement,
9/1/23,BS,1,76,AU+,0,0,ash,unbagged,supplement,
9/1/23,BS,1,77,AU+,0,0,ash,unbagged,supplement,
9/1/23,BS,1,77,AU+,1,1,ash,unbagged,supplement,
9/1/23,BS,1,77,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,77,AU,1,2,ash,unbagged,none,
9/1/23,BS,1,77,CU+,0,0,control,unbagged,supplement,
9/1/23,BS,1,77,AU+,1,2,ash,unbagged,supplement,
9/1/23,BS,1,78,CU+,0,0,control,unbagged,supplement,
9/1/23,BS,1,78,CU+,0,0,control,unbagged,supplement,
9/1/23,BS,1,79,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,80,AU,1,3,ash,unbagged,none,
9/1/23,BS,1,80,AU+,0,0,ash,unbagged,supplement,
9/1/23,BS,1,80,CU+,1,3,control,unbagged,supplement,
9/1/23,BS,1,81,AU,1,1,ash,unbagged,none,
9/1/23,BS,1,81,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,81,AU,0,0,ash,unbagged,none,
9/1/23,BS,1,82,CU+,1,2,control,unbagged,supplement,
9/1/23,BS,1,82,CU+,1,1,control,unbagged,supplement,
9/1/23,BS,1,82,CU+,1,1,control,unbagged,supplement,
9/1/23,BS,1,82,CU+,0,0,control,unbagged,supplement,
9/1/23,BS,1,82,AU+,0,0,ash,unbagged,supplement,
9/1/23,BS,1,82,AU+,1,2,ash,unbagged,supplement,
9/1/23,BS,1,82,CU+,1,2,control,unbagged,supplement,
9/1/23,BS,1,82,CU,1,4,control,unbagged,none,
9/1/23,BS,1,82,CU,1,4,control,unbagged,none,
