ResponseId,Image.Set,Image,Location,Preference,RCP,Scenic,MR1.Experience,MR2.Access,MR3.Engagement
R_0TQk3rYMgV8bob1,1,4,GRTE_MMT,2,8.5,Y,-1.136739187,0.387211003,0.16397594
R_0wNIkZXwCkUlVBA,1,1,GRTE_SMS,3,4.5,N,0.814977228,-0.801732366,0.384055356
R_0wNIkZXwCkUlVBA,1,2,YELL_MWN,3,8.5,N,0.814977228,-0.801732366,0.384055356
R_0wNIkZXwCkUlVBA,1,3,YELL_CPOF,3,4.5,Y,0.814977228,-0.801732366,0.384055356
R_0wNIkZXwCkUlVBA,1,4,GRTE_MMT,3,8.5,Y,0.814977228,-0.801732366,0.384055356
R_0xJgofvjSKvpojs,1,1,GRTE_SMS,3,4.5,N,0.98931669,0.778172773,0.269321169
R_0xJgofvjSKvpojs,1,2,YELL_MWN,3,8.5,N,0.98931669,0.778172773,0.269321169
R_0xJgofvjSKvpojs,1,3,YELL_CPOF,3,4.5,Y,0.98931669,0.778172773,0.269321169
R_0xJgofvjSKvpojs,1,4,GRTE_MMT,3,8.5,Y,0.98931669,0.778172773,0.269321169
R_14rTHUuuzl7Oujf,1,1,GRTE_SMS,0,4.5,N,1.102028217,-0.925056292,-0.043461676
R_14rTHUuuzl7Oujf,1,2,YELL_MWN,0,8.5,N,1.102028217,-0.925056292,-0.043461676
R_14rTHUuuzl7Oujf,1,3,YELL_CPOF,0,4.5,Y,1.102028217,-0.925056292,-0.043461676
R_14rTHUuuzl7Oujf,1,4,GRTE_MMT,0,8.5,Y,1.102028217,-0.925056292,-0.043461676
R_169ElGts5bY4ix2,1,1,GRTE_SMS,3,4.5,N,1.350150398,0.202599466,-1.132747135
R_169ElGts5bY4ix2,1,2,YELL_MWN,3,8.5,N,1.350150398,0.202599466,-1.132747135
R_169ElGts5bY4ix2,1,3,YELL_CPOF,3,4.5,Y,1.350150398,0.202599466,-1.132747135
R_169ElGts5bY4ix2,1,4,GRTE_MMT,3,8.5,Y,1.350150398,0.202599466,-1.132747135
R_17HH0bvLib0e0mL,1,1,GRTE_SMS,3,4.5,N,-2.011143701,-1.722014905,-0.663203319
R_17HH0bvLib0e0mL,1,2,YELL_MWN,3,8.5,N,-2.011143701,-1.722014905,-0.663203319
R_17HH0bvLib0e0mL,1,3,YELL_CPOF,3,4.5,Y,-2.011143701,-1.722014905,-0.663203319
R_17HH0bvLib0e0mL,1,4,GRTE_MMT,3,8.5,Y,-2.011143701,-1.722014905,-0.663203319
R_1EnpXMq6Eq1QHi8,1,2,YELL_MWN,0,8.5,N,-0.778693704,-0.140631308,0.015594073
R_1EnpXMq6Eq1QHi8,1,3,YELL_CPOF,0,4.5,Y,-0.778693704,-0.140631308,0.015594073
R_1EnpXMq6Eq1QHi8,1,4,GRTE_MMT,0,8.5,Y,-0.778693704,-0.140631308,0.015594073
R_1GaznnfLziUBRwk,1,1,GRTE_SMS,3,4.5,N,-0.571816449,-1.556481292,0.529868017
R_1GaznnfLziUBRwk,1,2,YELL_MWN,3,8.5,N,-0.571816449,-1.556481292,0.529868017
R_1GaznnfLziUBRwk,1,3,YELL_CPOF,3,4.5,Y,-0.571816449,-1.556481292,0.529868017
R_1GaznnfLziUBRwk,1,4,GRTE_MMT,3,8.5,Y,-0.571816449,-1.556481292,0.529868017
R_1NXFTtt2GGe3dTA,1,1,GRTE_SMS,3,4.5,N,1.005777879,-1.098302354,0.502707654
R_1NXFTtt2GGe3dTA,1,2,YELL_MWN,3,8.5,N,1.005777879,-1.098302354,0.502707654
R_1NXFTtt2GGe3dTA,1,3,YELL_CPOF,3,4.5,Y,1.005777879,-1.098302354,0.502707654
R_1NXFTtt2GGe3dTA,1,4,GRTE_MMT,3,8.5,Y,1.005777879,-1.098302354,0.502707654
R_1O86bI28t8YOlpS,1,1,GRTE_SMS,3,4.5,N,-0.584281282,0.694914899,-0.292278951
R_1O86bI28t8YOlpS,1,2,YELL_MWN,3,8.5,N,-0.584281282,0.694914899,-0.292278951
R_1O86bI28t8YOlpS,1,3,YELL_CPOF,3,4.5,Y,-0.584281282,0.694914899,-0.292278951
R_1O86bI28t8YOlpS,1,4,GRTE_MMT,3,8.5,Y,-0.584281282,0.694914899,-0.292278951
R_1Oo1u8byixur570,1,1,GRTE_SMS,3,4.5,N,-0.100524968,0.322487408,0.97809492
R_1Oo1u8byixur570,1,2,YELL_MWN,3,8.5,N,-0.100524968,0.322487408,0.97809492
R_1Oo1u8byixur570,1,3,YELL_CPOF,3,4.5,Y,-0.100524968,0.322487408,0.97809492
R_1Oo1u8byixur570,1,4,GRTE_MMT,3,8.5,Y,-0.100524968,0.322487408,0.97809492
R_1ucJH3eGTmsjkWH,1,1,GRTE_SMS,3,4.5,N,0.861336606,-1.721813525,0.616580799
R_1ucJH3eGTmsjkWH,1,2,YELL_MWN,3,8.5,N,0.861336606,-1.721813525,0.616580799
R_1ucJH3eGTmsjkWH,1,3,YELL_CPOF,3,4.5,Y,0.861336606,-1.721813525,0.616580799
R_1ucJH3eGTmsjkWH,1,4,GRTE_MMT,3,8.5,Y,0.861336606,-1.721813525,0.616580799
R_21pste5ShnbSwCM,1,1,GRTE_SMS,3,4.5,N,-1.10136521,0.108484135,0.275432188
R_21pste5ShnbSwCM,1,2,YELL_MWN,-1,8.5,N,-1.10136521,0.108484135,0.275432188
R_21pste5ShnbSwCM,1,3,YELL_CPOF,3,4.5,Y,-1.10136521,0.108484135,0.275432188
R_21pste5ShnbSwCM,1,4,GRTE_MMT,3,8.5,Y,-1.10136521,0.108484135,0.275432188
R_2CEW6yM0oBPcNho,1,1,GRTE_SMS,3,4.5,N,-0.341085209,-1.689469507,-0.303718257
R_2CEW6yM0oBPcNho,1,2,YELL_MWN,3,8.5,N,-0.341085209,-1.689469507,-0.303718257
R_2CEW6yM0oBPcNho,1,3,YELL_CPOF,3,4.5,Y,-0.341085209,-1.689469507,-0.303718257
R_2CEW6yM0oBPcNho,1,4,GRTE_MMT,3,8.5,Y,-0.341085209,-1.689469507,-0.303718257
R_2LRqMCdrjkLwV5m,1,1,GRTE_SMS,3,4.5,N,0.901408734,0.843962657,0.725190395
R_2LRqMCdrjkLwV5m,1,2,YELL_MWN,3,8.5,N,0.901408734,0.843962657,0.725190395
R_2LRqMCdrjkLwV5m,1,3,YELL_CPOF,3,4.5,Y,0.901408734,0.843962657,0.725190395
R_2LRqMCdrjkLwV5m,1,4,GRTE_MMT,3,8.5,Y,0.901408734,0.843962657,0.725190395
R_2OWNCYQ0Otm6czI,1,1,GRTE_SMS,2,4.5,N,-0.279427056,0.774072801,0.004125567
R_2OWNCYQ0Otm6czI,1,2,YELL_MWN,-1,8.5,N,-0.279427056,0.774072801,0.004125567
R_2OWNCYQ0Otm6czI,1,3,YELL_CPOF,0,4.5,Y,-0.279427056,0.774072801,0.004125567
R_2OWNCYQ0Otm6czI,1,4,GRTE_MMT,1,8.5,Y,-0.279427056,0.774072801,0.004125567
R_2oyrSMCDE3b6WJT,1,1,GRTE_SMS,3,4.5,N,1.616337988,0.47703294,-0.81317389
R_2oyrSMCDE3b6WJT,1,2,YELL_MWN,3,8.5,N,1.616337988,0.47703294,-0.81317389
R_2oyrSMCDE3b6WJT,1,3,YELL_CPOF,3,4.5,Y,1.616337988,0.47703294,-0.81317389
R_2oyrSMCDE3b6WJT,1,4,GRTE_MMT,3,8.5,Y,1.616337988,0.47703294,-0.81317389
R_35zOEikd1YtNdaG,1,1,GRTE_SMS,2,4.5,N,-0.563764353,-1.427719754,-0.992885231
R_35zOEikd1YtNdaG,1,2,YELL_MWN,-2,8.5,N,-0.563764353,-1.427719754,-0.992885231
R_35zOEikd1YtNdaG,1,3,YELL_CPOF,0,4.5,Y,-0.563764353,-1.427719754,-0.992885231
R_35zOEikd1YtNdaG,1,4,GRTE_MMT,3,8.5,Y,-0.563764353,-1.427719754,-0.992885231
R_37dJ9tJeb140znR,1,1,GRTE_SMS,3,4.5,N,1.265831153,0.533749056,-0.189338958
R_37dJ9tJeb140znR,1,2,YELL_MWN,3,8.5,N,1.265831153,0.533749056,-0.189338958
R_37dJ9tJeb140znR,1,3,YELL_CPOF,3,4.5,Y,1.265831153,0.533749056,-0.189338958
R_37dJ9tJeb140znR,1,4,GRTE_MMT,3,8.5,Y,1.265831153,0.533749056,-0.189338958
R_39bLzRlM8Nf3CAJ,1,1,GRTE_SMS,3,4.5,N,0.321815254,1.309069144,-0.542267258
R_39bLzRlM8Nf3CAJ,1,2,YELL_MWN,3,8.5,N,0.321815254,1.309069144,-0.542267258
R_39bLzRlM8Nf3CAJ,1,3,YELL_CPOF,3,4.5,Y,0.321815254,1.309069144,-0.542267258
R_39bLzRlM8Nf3CAJ,1,4,GRTE_MMT,3,8.5,Y,0.321815254,1.309069144,-0.542267258
R_3CJNsX0doNrOnFZ,1,1,GRTE_SMS,3,4.5,N,-0.956699476,0.079704578,-1.343773846
R_3CJNsX0doNrOnFZ,1,2,YELL_MWN,-1,8.5,N,-0.956699476,0.079704578,-1.343773846
R_3CJNsX0doNrOnFZ,1,3,YELL_CPOF,0,4.5,Y,-0.956699476,0.079704578,-1.343773846
R_3CJNsX0doNrOnFZ,1,4,GRTE_MMT,3,8.5,Y,-0.956699476,0.079704578,-1.343773846
R_3dn7QPZnJ2bndGH,1,1,GRTE_SMS,3,4.5,N,0.078573308,-0.240772955,-0.129619897
R_3dn7QPZnJ2bndGH,1,2,YELL_MWN,1,8.5,N,0.078573308,-0.240772955,-0.129619897
R_3dn7QPZnJ2bndGH,1,3,YELL_CPOF,1,4.5,Y,0.078573308,-0.240772955,-0.129619897
R_3dn7QPZnJ2bndGH,1,4,GRTE_MMT,3,8.5,Y,0.078573308,-0.240772955,-0.129619897
R_3IhX4dN3vQL3Q8q,1,1,GRTE_SMS,3,4.5,N,-0.917547197,1.060728332,-1.316277477
R_3IhX4dN3vQL3Q8q,1,2,YELL_MWN,2,8.5,N,-0.917547197,1.060728332,-1.316277477
R_3IhX4dN3vQL3Q8q,1,3,YELL_CPOF,3,4.5,Y,-0.917547197,1.060728332,-1.316277477
R_3IhX4dN3vQL3Q8q,1,4,GRTE_MMT,3,8.5,Y,-0.917547197,1.060728332,-1.316277477
R_3j6HM66f0FBkjY6,1,1,GRTE_SMS,3,4.5,N,0.290626916,-0.118699748,0.199959478
R_3j6HM66f0FBkjY6,1,2,YELL_MWN,-1,8.5,N,0.290626916,-0.118699748,0.199959478
R_3j6HM66f0FBkjY6,1,3,YELL_CPOF,-1,4.5,Y,0.290626916,-0.118699748,0.199959478
R_3j6HM66f0FBkjY6,1,4,GRTE_MMT,3,8.5,Y,0.290626916,-0.118699748,0.199959478
R_3qhSrryMOUWCJ9z,1,1,GRTE_SMS,3,4.5,N,0.282245387,-0.471812426,-0.566488836
R_3qhSrryMOUWCJ9z,1,2,YELL_MWN,3,8.5,N,0.282245387,-0.471812426,-0.566488836
R_3qhSrryMOUWCJ9z,1,3,YELL_CPOF,2,4.5,Y,0.282245387,-0.471812426,-0.566488836
R_3qhSrryMOUWCJ9z,1,4,GRTE_MMT,3,8.5,Y,0.282245387,-0.471812426,-0.566488836
R_3VtDPRxvsVpqbW1,1,1,GRTE_SMS,2,4.5,N,0.568640141,0.247105692,0.298881392
R_3VtDPRxvsVpqbW1,1,2,YELL_MWN,3,8.5,N,0.568640141,0.247105692,0.298881392
R_3VtDPRxvsVpqbW1,1,3,YELL_CPOF,2,4.5,Y,0.568640141,0.247105692,0.298881392
R_3VtDPRxvsVpqbW1,1,4,GRTE_MMT,3,8.5,Y,0.568640141,0.247105692,0.298881392
R_46fIZp1g4scgKic,1,1,GRTE_SMS,2,4.5,N,0.016396243,-1.262048833,0.113910968
R_46fIZp1g4scgKic,1,2,YELL_MWN,-2,8.5,N,0.016396243,-1.262048833,0.113910968
R_46fIZp1g4scgKic,1,3,YELL_CPOF,3,4.5,Y,0.016396243,-1.262048833,0.113910968
R_46fIZp1g4scgKic,1,4,GRTE_MMT,3,8.5,Y,0.016396243,-1.262048833,0.113910968
R_47CwYXwlKBUtGud,1,1,GRTE_SMS,1,4.5,N,0.416241161,-0.181476133,-0.102750382
R_47CwYXwlKBUtGud,1,2,YELL_MWN,2,8.5,N,0.416241161,-0.181476133,-0.102750382
R_47CwYXwlKBUtGud,1,3,YELL_CPOF,1,4.5,Y,0.416241161,-0.181476133,-0.102750382
R_47CwYXwlKBUtGud,1,4,GRTE_MMT,-1,8.5,Y,0.416241161,-0.181476133,-0.102750382
R_4oR459aqrGqkv9K,1,1,GRTE_SMS,3,4.5,N,0.496203941,0.517144561,0.335977016
R_4oR459aqrGqkv9K,1,2,YELL_MWN,3,8.5,N,0.496203941,0.517144561,0.335977016
R_4oR459aqrGqkv9K,1,3,YELL_CPOF,3,4.5,Y,0.496203941,0.517144561,0.335977016
R_4oR459aqrGqkv9K,1,4,GRTE_MMT,3,8.5,Y,0.496203941,0.517144561,0.335977016
R_4prVGy2q8Ldx2Ph,1,1,GRTE_SMS,3,4.5,N,-0.492623002,0.224138212,0.619268078
R_4prVGy2q8Ldx2Ph,1,2,YELL_MWN,3,8.5,N,-0.492623002,0.224138212,0.619268078
R_4prVGy2q8Ldx2Ph,1,3,YELL_CPOF,3,4.5,Y,-0.492623002,0.224138212,0.619268078
R_4prVGy2q8Ldx2Ph,1,4,GRTE_MMT,3,8.5,Y,-0.492623002,0.224138212,0.619268078
R_4QNcxlkAInoqy1E,1,1,GRTE_SMS,0,4.5,N,-1.034567801,-0.339787453,-0.067402897
R_4QNcxlkAInoqy1E,1,2,YELL_MWN,0,8.5,N,-1.034567801,-0.339787453,-0.067402897
R_4QNcxlkAInoqy1E,1,3,YELL_CPOF,0,4.5,Y,-1.034567801,-0.339787453,-0.067402897
R_4QNcxlkAInoqy1E,1,4,GRTE_MMT,0,8.5,Y,-1.034567801,-0.339787453,-0.067402897
R_4v8SggQa70iptWu,1,1,GRTE_SMS,3,4.5,N,-0.541880783,0.007398965,0.254918127
R_4v8SggQa70iptWu,1,2,YELL_MWN,3,8.5,N,-0.541880783,0.007398965,0.254918127
R_4v8SggQa70iptWu,1,3,YELL_CPOF,3,4.5,Y,-0.541880783,0.007398965,0.254918127
R_4v8SggQa70iptWu,1,4,GRTE_MMT,3,8.5,Y,-0.541880783,0.007398965,0.254918127
R_4vJ5Qs1XwjR3N0O,1,1,GRTE_SMS,3,4.5,N,-1.358337407,-0.812908685,-0.5713244
R_4vJ5Qs1XwjR3N0O,1,2,YELL_MWN,3,8.5,N,-1.358337407,-0.812908685,-0.5713244
R_4vJ5Qs1XwjR3N0O,1,3,YELL_CPOF,2,4.5,Y,-1.358337407,-0.812908685,-0.5713244
R_4vJ5Qs1XwjR3N0O,1,4,GRTE_MMT,3,8.5,Y,-1.358337407,-0.812908685,-0.5713244
R_4Ym32mfU3JOw9Ce,1,1,GRTE_SMS,3,4.5,N,1.072036568,-0.317455286,-0.111035347
R_4Ym32mfU3JOw9Ce,1,2,YELL_MWN,3,8.5,N,1.072036568,-0.317455286,-0.111035347
R_4Ym32mfU3JOw9Ce,1,3,YELL_CPOF,3,4.5,Y,1.072036568,-0.317455286,-0.111035347
R_4Ym32mfU3JOw9Ce,1,4,GRTE_MMT,3,8.5,Y,1.072036568,-0.317455286,-0.111035347
R_50pVZrOoYcw3U5U,1,1,GRTE_SMS,3,4.5,N,-0.280835538,-0.626756328,-0.089810641
R_50pVZrOoYcw3U5U,1,2,YELL_MWN,3,8.5,N,-0.280835538,-0.626756328,-0.089810641
R_50pVZrOoYcw3U5U,1,3,YELL_CPOF,2,4.5,Y,-0.280835538,-0.626756328,-0.089810641
R_50pVZrOoYcw3U5U,1,4,GRTE_MMT,3,8.5,Y,-0.280835538,-0.626756328,-0.089810641
R_50YSYeytDOdwyJD,1,1,GRTE_SMS,0,4.5,N,-0.454233443,0.027355831,0.626019972
R_50YSYeytDOdwyJD,1,2,YELL_MWN,1,8.5,N,-0.454233443,0.027355831,0.626019972
R_50YSYeytDOdwyJD,1,3,YELL_CPOF,-1,4.5,Y,-0.454233443,0.027355831,0.626019972
R_50YSYeytDOdwyJD,1,4,GRTE_MMT,2,8.5,Y,-0.454233443,0.027355831,0.626019972
R_5cBGaUl2YNEGhTJ,1,1,GRTE_SMS,0,4.5,N,0.241994243,0.644555797,-1.010932087
R_5cBGaUl2YNEGhTJ,1,2,YELL_MWN,3,8.5,N,0.241994243,0.644555797,-1.010932087
R_5cBGaUl2YNEGhTJ,1,3,YELL_CPOF,3,4.5,Y,0.241994243,0.644555797,-1.010932087
R_5cBGaUl2YNEGhTJ,1,4,GRTE_MMT,3,8.5,Y,0.241994243,0.644555797,-1.010932087
R_5gSHfLAp8jnIdlM,1,1,GRTE_SMS,1,4.5,N,-0.752244347,-1.762140522,0.160772315
R_5gSHfLAp8jnIdlM,1,2,YELL_MWN,0,8.5,N,-0.752244347,-1.762140522,0.160772315
R_5gSHfLAp8jnIdlM,1,3,YELL_CPOF,3,4.5,Y,-0.752244347,-1.762140522,0.160772315
R_5gSHfLAp8jnIdlM,1,4,GRTE_MMT,1,8.5,Y,-0.752244347,-1.762140522,0.160772315
R_5lsW0CnZVRQLlBI,1,1,GRTE_SMS,0,4.5,N,0.688713395,1.001387312,1.484220729
R_5lsW0CnZVRQLlBI,1,2,YELL_MWN,0,8.5,N,0.688713395,1.001387312,1.484220729
R_5lsW0CnZVRQLlBI,1,3,YELL_CPOF,0,4.5,Y,0.688713395,1.001387312,1.484220729
R_5lsW0CnZVRQLlBI,1,4,GRTE_MMT,3,8.5,Y,0.688713395,1.001387312,1.484220729
R_5Q10gyjRWrkWvcn,1,1,GRTE_SMS,3,4.5,N,1.278555254,0.125349097,0.445073243
R_5Q10gyjRWrkWvcn,1,2,YELL_MWN,3,8.5,N,1.278555254,0.125349097,0.445073243
R_5Q10gyjRWrkWvcn,1,3,YELL_CPOF,-1,4.5,Y,1.278555254,0.125349097,0.445073243
R_5Q10gyjRWrkWvcn,1,4,GRTE_MMT,3,8.5,Y,1.278555254,0.125349097,0.445073243
R_5rtxDxFUbrlRGaS,1,1,GRTE_SMS,2,4.5,N,-0.162891368,0.659017198,0.084541195
R_5rtxDxFUbrlRGaS,1,2,YELL_MWN,3,8.5,N,-0.162891368,0.659017198,0.084541195
R_5rtxDxFUbrlRGaS,1,3,YELL_CPOF,2,4.5,Y,-0.162891368,0.659017198,0.084541195
R_5rtxDxFUbrlRGaS,1,4,GRTE_MMT,3,8.5,Y,-0.162891368,0.659017198,0.084541195
R_5VlkqAIRoLv0yz1,1,1,GRTE_SMS,3,4.5,N,-0.318136855,-0.310115584,-1.337026772
R_5VlkqAIRoLv0yz1,1,2,YELL_MWN,3,8.5,N,-0.318136855,-0.310115584,-1.337026772
R_5VlkqAIRoLv0yz1,1,3,YELL_CPOF,2,4.5,Y,-0.318136855,-0.310115584,-1.337026772
R_5VlkqAIRoLv0yz1,1,4,GRTE_MMT,3,8.5,Y,-0.318136855,-0.310115584,-1.337026772
R_5YqrIdIjoT4zePl,1,1,GRTE_SMS,3,4.5,N,-1.911111988,0.074879684,0.386467806
R_5YqrIdIjoT4zePl,1,2,YELL_MWN,3,8.5,N,-1.911111988,0.074879684,0.386467806
R_5YqrIdIjoT4zePl,1,3,YELL_CPOF,3,4.5,Y,-1.911111988,0.074879684,0.386467806
R_5YqrIdIjoT4zePl,1,4,GRTE_MMT,3,8.5,Y,-1.911111988,0.074879684,0.386467806
R_5yz2kIAeCoETlml,1,1,GRTE_SMS,3,4.5,N,0.785158437,0.79439681,0.780463354
R_5yz2kIAeCoETlml,1,2,YELL_MWN,3,8.5,N,0.785158437,0.79439681,0.780463354
R_5yz2kIAeCoETlml,1,3,YELL_CPOF,3,4.5,Y,0.785158437,0.79439681,0.780463354
R_5yz2kIAeCoETlml,1,4,GRTE_MMT,3,8.5,Y,0.785158437,0.79439681,0.780463354
R_6AIl8So37u6YTOM,1,1,GRTE_SMS,3,4.5,N,-0.303266337,0.919713091,-3.213771794
R_6AIl8So37u6YTOM,1,2,YELL_MWN,3,8.5,N,-0.303266337,0.919713091,-3.213771794
R_6AIl8So37u6YTOM,1,3,YELL_CPOF,3,4.5,Y,-0.303266337,0.919713091,-3.213771794
R_6AIl8So37u6YTOM,1,4,GRTE_MMT,3,8.5,Y,-0.303266337,0.919713091,-3.213771794
R_6JRNA02NOhmszs9,1,1,GRTE_SMS,2,4.5,N,0.399422366,-0.098148064,0.14351515
R_6JRNA02NOhmszs9,1,2,YELL_MWN,0,8.5,N,0.399422366,-0.098148064,0.14351515
R_6JRNA02NOhmszs9,1,3,YELL_CPOF,0,4.5,Y,0.399422366,-0.098148064,0.14351515
R_6JRNA02NOhmszs9,1,4,GRTE_MMT,3,8.5,Y,0.399422366,-0.098148064,0.14351515
R_701OEi5A0PRZxYo,1,1,GRTE_SMS,0,4.5,N,1.02480074,0.264596036,-0.5540765
R_701OEi5A0PRZxYo,1,2,YELL_MWN,2,8.5,N,1.02480074,0.264596036,-0.5540765
R_701OEi5A0PRZxYo,1,3,YELL_CPOF,0,4.5,Y,1.02480074,0.264596036,-0.5540765
R_701OEi5A0PRZxYo,1,4,GRTE_MMT,3,8.5,Y,1.02480074,0.264596036,-0.5540765
R_7D6sWazCEulyT97,1,1,GRTE_SMS,2,4.5,N,-0.968475731,-0.015440688,-0.562732269
R_7D6sWazCEulyT97,1,2,YELL_MWN,3,8.5,N,-0.968475731,-0.015440688,-0.562732269
R_7D6sWazCEulyT97,1,3,YELL_CPOF,3,4.5,Y,-0.968475731,-0.015440688,-0.562732269
R_7D6sWazCEulyT97,1,4,GRTE_MMT,3,8.5,Y,-0.968475731,-0.015440688,-0.562732269
R_7IYKum2uCk873Ov,1,1,GRTE_SMS,3,4.5,N,-0.959370387,0.477567449,-0.495620021
R_7IYKum2uCk873Ov,1,2,YELL_MWN,3,8.5,N,-0.959370387,0.477567449,-0.495620021
R_7IYKum2uCk873Ov,1,3,YELL_CPOF,3,4.5,Y,-0.959370387,0.477567449,-0.495620021
R_7IYKum2uCk873Ov,1,4,GRTE_MMT,3,8.5,Y,-0.959370387,0.477567449,-0.495620021
R_7squTMC8n4IJDYF,1,1,GRTE_SMS,3,4.5,N,1.350232267,0.747439277,0.061375013
R_7squTMC8n4IJDYF,1,2,YELL_MWN,3,8.5,N,1.350232267,0.747439277,0.061375013
R_7squTMC8n4IJDYF,1,3,YELL_CPOF,3,4.5,Y,1.350232267,0.747439277,0.061375013
R_7squTMC8n4IJDYF,1,4,GRTE_MMT,3,8.5,Y,1.350232267,0.747439277,0.061375013
R_8U2Mt1EwdpNe7ES,1,1,GRTE_SMS,3,4.5,N,0.413857259,-1.26915983,1.34317053
R_8U2Mt1EwdpNe7ES,1,2,YELL_MWN,3,8.5,N,0.413857259,-1.26915983,1.34317053
R_8U2Mt1EwdpNe7ES,1,3,YELL_CPOF,3,4.5,Y,0.413857259,-1.26915983,1.34317053
R_8U2Mt1EwdpNe7ES,1,4,GRTE_MMT,3,8.5,Y,0.413857259,-1.26915983,1.34317053
R_8x744CCqWcY8BOA,1,1,GRTE_SMS,3,4.5,N,-0.752619025,1.044730742,0.070243179
R_8x744CCqWcY8BOA,1,2,YELL_MWN,3,8.5,N,-0.752619025,1.044730742,0.070243179
R_8x744CCqWcY8BOA,1,3,YELL_CPOF,1,4.5,Y,-0.752619025,1.044730742,0.070243179
R_8x744CCqWcY8BOA,1,4,GRTE_MMT,3,8.5,Y,-0.752619025,1.044730742,0.070243179
R_94fnQ1nheuxhaUf,1,1,GRTE_SMS,3,4.5,N,0.440371351,0.966287223,-0.539509296
R_94fnQ1nheuxhaUf,1,2,YELL_MWN,3,8.5,N,0.440371351,0.966287223,-0.539509296
R_94fnQ1nheuxhaUf,1,3,YELL_CPOF,3,4.5,Y,0.440371351,0.966287223,-0.539509296
R_94fnQ1nheuxhaUf,1,4,GRTE_MMT,3,8.5,Y,0.440371351,0.966287223,-0.539509296
R_9FeXhd0a9L8Vufl,1,1,GRTE_SMS,3,4.5,N,-0.78438142,-0.352288361,0.314681608
R_9FeXhd0a9L8Vufl,1,2,YELL_MWN,3,8.5,N,-0.78438142,-0.352288361,0.314681608
R_9FeXhd0a9L8Vufl,1,3,YELL_CPOF,3,4.5,Y,-0.78438142,-0.352288361,0.314681608
R_9FeXhd0a9L8Vufl,1,4,GRTE_MMT,3,8.5,Y,-0.78438142,-0.352288361,0.314681608
R_9r3OK2bXwsMnHjW,1,1,GRTE_SMS,2,4.5,N,0.317106814,0.013604562,0.479207774
R_9r3OK2bXwsMnHjW,1,2,YELL_MWN,3,8.5,N,0.317106814,0.013604562,0.479207774
R_9r3OK2bXwsMnHjW,1,3,YELL_CPOF,3,4.5,Y,0.317106814,0.013604562,0.479207774
R_9r3OK2bXwsMnHjW,1,4,GRTE_MMT,3,8.5,Y,0.317106814,0.013604562,0.479207774
R_9WW1qIegEmpjTaS,1,1,GRTE_SMS,3,4.5,N,-1.401536521,-1.443591978,0.622344649
R_9WW1qIegEmpjTaS,1,2,YELL_MWN,3,8.5,N,-1.401536521,-1.443591978,0.622344649
R_9WW1qIegEmpjTaS,1,3,YELL_CPOF,2,4.5,Y,-1.401536521,-1.443591978,0.622344649
R_9WW1qIegEmpjTaS,1,4,GRTE_MMT,3,8.5,Y,-1.401536521,-1.443591978,0.622344649
R_9xnavxiSCS0V2mV,1,1,GRTE_SMS,2,4.5,N,-0.25483248,-1.162739718,-0.167473982
